Game,Price,Date
Ring Fit Adventure (45496424978),19 990 ₸,01/25/2022
New Super Mario Bros. U Deluxe NS,9 990 ₸,01/25/2022
Metroid Dread (045496428440),26 990 ₸,01/25/2022
The Legend of Zelda: Skyward Sword HD (45496427788),25 990 ₸,01/25/2022
SnowRunner (3512899123571),19 990 ₸,01/25/2022
Animal Crossing: New Horizons,21 990 ₸,01/25/2022
FIFA 22,30 590 ₸,01/25/2022
Switch Harvest Moon: One World (45496426484),4 990 ₸,01/25/2022
The Legend of Zelda: Link's Awakening NS,22 990 ₸,01/25/2022
Mario Golf: Super Rush (45496427764),23 990 ₸,01/25/2022
Mario Party Superstars (45496428631),26 990 ₸,01/25/2022
New Pokemon Snap (45496427320),14 990 ₸,01/25/2022
Bravely Default II (045496426149),9 990 ₸,01/25/2022
Minecraft Dungeons Ultimate Edition (45496429096),23 990 ₸,01/25/2022
Mario Kart Live: Home Circuit набор Luigi (45496426279),39 990 ₸,01/25/2022
Pokemon Brilliand Diamond & Shining Pearl Dual Pack (45496428372),49 990 ₸,01/25/2022
Pokemon Shining Pearl (45496428150),25 990 ₸,01/25/2022
Pokemon Brilliant Diamond (45496428051),25 990 ₸,01/25/2022
Miitopia (45496427610),17 990 ₸,01/25/2022
Shin Megami Tensei V (45496428822),25 990 ₸,01/25/2022
DC Super Hero Girls: Teen Power (45496427542),23 990 ₸,01/25/2022
Monster Hunter Stories 2: Wings of Ruin (45496427863),31 990 ₸,01/25/2022
WarioWare: Get It Together! (045496428716),19 990 ₸,01/25/2022
No More Heroes 3 (045496427474),26 990 ₸,01/25/2022
Mortal Kombat 11 NS,1 990 ₸,01/25/2022
The Legend of Zelda Breath of the Wild NS,25 990 ₸,01/25/2022
NBA 2K21 (5026555069069),990 ₸,01/25/2022
9 Monkeys of Shaolin (4020628742713),990 ₸,01/25/2022
Deadly Premonition 2: A Blessing in Disguise (45496423605),990 ₸,01/25/2022
Minecraft Dungeons (45496426163),990 ₸,01/25/2022
Spyro Reignited Trilogy (5030917284540),990 ₸,01/25/2022
Pokemon Shield (45496424893),1 990 ₸,01/25/2022
Xenoblade Chronicles: Definitive Edition (45496425807),1 990 ₸,01/25/2022
Ведьмак 3 Дикая охота NS,4 990 ₸,01/25/2022
Switch Hades Collectors Edition (45496427429),9 990 ₸,01/25/2022
Crash Bandicoot N'sane Trilogy (5030917236730),14 990 ₸,01/25/2022
Pokemon Sword + Expansion Pass (45496426743),19 990 ₸,01/25/2022
Pokemon Sword (45496424886),21 990 ₸,01/25/2022
Bayonetta 2 (45496423841),22 990 ₸,01/25/2022
Luigi's Mansion 3,23 990 ₸,01/25/2022
